ŁÓDZKIE 36 50 225,4	374	48	64	410,4	673	12	17	30,6	68
MAZOWIECKIE	43 257	260,3	2215,8	51	222	480,9	2613,2	13	202	31	994,2
MAŁOPOLSKIE	78 89	513,2	689,4	54	52	518,9	535	9	13	34,4	62,8
ŚLĄSKIE 115 119 760,2	893,7	74	70	633	666	138	155	412,1	539,2
LUBELSKIE	31	54	197	456,5	60	82	559,2	948,6	14	59	37	247,9
PODKARPACKIE	262	187	1676,6	1509,4	127	104	1212,6	1275,6	39	48	123,8	208,4
PODLASKIE	86	130	515,1	938,8	36	50	313,4	533,3	18	76	46,2	479,9
ŚWIĘTOKRZYSKIE	14	20	91,8	144,3	16	16	157,6	165	3	3	7,2	17,7
LUBUSKIE	233	224	1457,1	1717,5	135	108	1263,3	1203,4	196	254	550,3	1196,6
WIELKOPOLSKIE	314	317	1952,6	2309,5	211	183	2036,1	1985,6	259	419	703,9	1766,2
ZACHODNIOPOMORSKIE	562	657	3551,9	4753	251	243	2397,1	2663,2	597	970	1690,9	4364
DOLNOŚLĄSKIE	286	275	1953	2253,7	223	207	2076,3	2206,8	243	352	723,9	1553
OPOLSKIE	269	189	1848	1457	172	107	1347,2	988,3	372	271	1115,9	1044,1
KUJAWSKO-POMORSKIE	149	196	917	1436	86	86	838,8	956,4	64	127	157,7	522,4
POMORSKIE	228	263	1403,3	1896,1	106	97	1018	1070	69	158	165,4	672,3
WARMIŃSKO-MAZURSKIE	310	393	1890,2	2973,1	170	218	1604,8	2476,4	255	519	709,4	2418,6
